"customer_id","address","age","created_at","created_by","dob","email","name","phone","updated_at","updated_by"
"1744564405657","""123 Main St, Anytown, USA""","35","2025-04-13T17:13:26.106683","1234567890","1988-05-15","john.doe@example.com","John Doe","555-123-4567","2025-04-13T17:13:25.657884","1234567890"
"1744439020698","""123 Main St, Anytown, USA""","35","2025-04-12T06:23:40.698091","","1988-05-15","john.doe@example.com","John Doe","555-123-4567","",""
"1744564452557","""123 Main St, Anytown, USA""","35","2025-04-13T17:14:12.566118","1234567890","1988-05-15","john.doe@example.com","John Doe","555-123-4567","2025-04-13T17:14:12.557459","1234567890"
"1744564982807","""123 Main St, Anytown, USA""","35","2025-04-13T17:23:03.215150","1234567890","1988-05-15","john.doe@example.com","John Doe","555-123-4567","2025-04-13T17:23:02.807130","1234567890"
"1744587713246","""123 Main St, Anytown, USA""","35","2025-04-13T23:41:53.654985","1234567890","1988-05-15","john.doe@example.com","John Doe","555-123-4567","2025-04-13T23:41:53.246339","1234567890"
"1744437984727","""123 Main St, Anytown, USA""","35","2025-04-12T06:06:24.727647","","1988-05-15","john.doe@example.com","John Doe","555-123-4567","",""
"1744434736855","""123 Main St, Anytown, USA""","35","2025-04-12T05:12:16.855142","","1988-05-15","john.doe@example.com","John Doe","555-123-4567","",""
"1744564571800","""123 Main St, Anytown, USA""","35","2025-04-13T17:16:12.104696","1234567890","1988-05-15","john.doe@example.com","John Doe","555-123-4567","2025-04-13T17:16:11.800564","1234567890"
"1744587926344","""123 Main St, Anytown, USA""","35","2025-04-13T23:45:26.654191","vishalchawla","1988-05-15","john.doe@example.com","John Doe","555-123-4567","2025-04-13T23:45:26.344979","vishalchawla"
"1744564421205","""123 Main St, Anytown, USA""","35","2025-04-13T17:13:41.209035","1234567890","1988-05-15","john.doe@example.com","John Doe","555-123-4567","2025-04-13T17:13:41.205700","1234567890"
"1744564583156","""123 Main St, Anytown, USA""","35","2025-04-13T17:16:23.164712","1234567890","1988-05-15","john.doe@example.com","John Doe","555-123-4567","2025-04-13T17:16:23.156182","1234567890"
